Week,debt,Date,Change %,Dummy_Monthy,stockmarketcrash,economicboom,recession,bullmarket,bearmarket,financialcrisis,Price
1/6/08,67,6-Jan-08,-0.75%,52,12,65,48,48,22,2,1401.02
1/13/08,69,13-Jan-08,-5.41%,51,15,27,73,50,38,2,1325.19
1/20/08,69,20-Jan-08,0.41%,50,32,55,100,90,52,3,1330.61
1/27/08,68,27-Jan-08,4.87%,49,13,67,44,39,25,3,1395.42
2/3/08,71,3-Feb-08,-4.60%,48,12,36,35,53,17,2,1331.29
2/10/08,64,10-Feb-08,1.40%,47,11,36,27,43,17,3,1349.99
2/17/08,66,17-Feb-08,0.23%,46,11,44,19,26,12,3,1353.11
2/24/08,69,24-Feb-08,-1.66%,45,18,53,32,47,17,4,1330.63
3/2/08,67,2-Mar-08,-2.80%,44,17,53,35,57,23,2,1293.37
3/9/08,65,9-Mar-08,-0.40%,43,19,100,38,45,24,3,1288.14
3/16/08,65,16-Mar-08,3.21%,42,21,39,42,53,49,6,1329.51
3/23/08,64,23-Mar-08,-1.07%,41,16,56,25,52,25,5,1315.22
3/30/08,64,30-Mar-08,4.20%,40,19,79,38,39,22,4,1370.40
4/6/08,63,6-Apr-08,-2.74%,39,16,92,31,69,18,4,1332.83
4/13/08,65,13-Apr-08,4.31%,38,15,81,25,34,13,4,1390.33
4/20/08,65,20-Apr-08,0.54%,37,15,81,25,43,12,5,1397.84
4/27/08,61,27-Apr-08,1.15%,36,14,87,30,48,13,4,1413.90
5/4/08,59,4-May-08,-1.81%,35,16,79,22,34,13,3,1388.28
5/11/08,62,11-May-08,2.67%,34,12,71,18,31,7,3,1425.35
5/18/08,60,18-May-08,-3.47%,33,15,36,14,46,13,2,1375.93
5/25/08,55,25-May-08,1.78%,32,11,44,16,23,10,2,1400.38
6/1/08,58,1-Jun-08,-2.83%,31,9,45,16,36,8,2,1360.68
6/8/08,60,8-Jun-08,-0.05%,30,7,28,15,24,11,2,1360.03
6/15/08,60,15-Jun-08,-3.10%,29,7,29,12,30,11,2,1317.93
6/22/08,61,22-Jun-08,-3.00%,28,7,29,15,31,44,1,1278.38
6/29/08,57,29-Jun-08,-1.21%,27,7,0,16,56,100,1,1262.90
7/6/08,66,6-Jul-08,-1.85%,26,6,28,20,65,55,3,1239.49
7/13/08,65,13-Jul-08,1.71%,25,7,56,19,52,41,3,1260.68
7/20/08,63,20-Jul-08,-0.23%,24,5,84,17,44,21,2,1257.76
7/27/08,68,27-Jul-08,0.20%,23,5,27,15,52,11,3,1260.31
8/3/08,64,3-Aug-08,2.86%,22,4,82,14,27,15,2,1296.32
8/10/08,56,10-Aug-08,0.15%,21,4,27,12,45,11,2,1298.20
8/17/08,61,17-Aug-08,-0.46%,20,4,0,15,31,12,3,1292.20
8/24/08,64,24-Aug-08,-0.73%,19,5,35,26,27,12,2,1282.83
8/31/08,63,31-Aug-08,-3.16%,18,4,0,37,28,9,1,1242.31
9/7/08,69,7-Sep-08,0.76%,17,7,25,28,35,14,3,1251.70
9/14/08,81,14-Sep-08,0.27%,16,53,38,35,57,24,40,1255.08
9/21/08,95,21-Sep-08,-3.33%,15,35,25,42,55,20,83,1213.27
9/28/08,89,28-Sep-08,-9.40%,14,90,62,47,52,25,100,1099.23
10/5/08,100,5-Oct-08,-18.20%,13,100,32,71,90,60,95,899.22
10/12/08,87,12-Oct-08,4.60%,12,39,58,54,100,45,60,940.55
10/19/08,75,19-Oct-08,-6.78%,11,30,65,58,86,38,47,876.77
10/26/08,79,26-Oct-08,10.49%,10,27,65,42,77,24,44,968.75
11/2/08,76,2-Nov-08,-3.90%,9,17,50,39,36,21,34,930.99
11/9/08,82,9-Nov-08,-6.20%,8,25,79,47,64,23,30,873.29
11/16/08,79,16-Nov-08,-8.39%,7,23,48,60,53,27,31,800.03
11/23/08,67,23-Nov-08,12.03%,6,15,54,31,53,21,30,896.24
11/30/08,77,30-Nov-08,-2.25%,5,18,46,93,45,22,30,876.07
12/7/08,74,7-Dec-08,0.42%,4,16,62,52,42,12,24,879.73
12/14/08,65,14-Dec-08,0.93%,3,14,57,41,64,14,18,887.88
12/21/08,52,21-Dec-08,-1.70%,2,5,48,28,31,9,11,872.80
12/28/08,66,28-Dec-08,6.76%,1,7,30,28,34,15,14,931.80